"","country","population","lifeexp","childmort","income","gdpcapita","chdperwoman","healthspend","co2","water","popdensity","murder","continent"
"1","Afghanistan",29200000,60.5,88,1960,543,5.82,37.7,0.29,73.5,"44.7",4940,"Asia"
"2","Albania",2950000,78.1,13.3,10800,4090,1.65,241,1.56,92.9,"108",68.4,"Europe"
"3","Algeria",3.6e+07,74.5,27.4,11000,4480,2.89,178,3.28,95,"15.1",447,"Africa"
"5","Angola",23400000,60.2,120,7690,3590,6.16,123,1.24,67.5,"18.7",978,"Africa"
"7","Argentina",40900000,75.9,14.4,23500,10400,2.37,742,4.57,99.3,"14.9",2390,"Americas"
"9","Australia",22200000,82.1,4.77,45100,52000,1.93,4780,18.4,99.9,"2.88",308,"Oceania"
"10","Austria",8410000,80.8,4.33,51900,46900,1.44,4960,8.6,100,"102",73.6,"Europe"
"17","Belgium",10900000,80.2,4.46,48100,44100,1.81,4620,10.4,100,"361",163,"Europe"
"19","Benin",9200000,61.1,111,2710,1040,5.36,31,0.537,76.1,"81.6",271,"Africa"
"21","Bolivia",1e+07,70.3,41.1,6610,1960,3.2,96.5,1.49,97.7,"9.28",636,"Americas"
"22","Bosnia and Herzegovina",3710000,76.3,7.18,11000,4640,1.31,499,5.71,95.9,"72.7",123,"Europe"
"23","Botswana",1990000,57,49.8,14100,6430,2.88,615,2.28,95.2,"3.51",297,"Africa"
"24","Brazil",1.96e+08,73.8,18.7,14900,11300,1.81,990,2.1,98.9,"23.4",57500,"Americas"
"26","Bulgaria",7430000,72.3,10.7,17500,6810,1.49,435,6.44,99.6,"68.4",222,"Europe"
"27","Burkina Faso",15600000,57.9,114,1720,648,5.87,39.8,0.131,77.3,"57",144,"Africa"
"28","Burundi",8680000,58.5,90.7,846,234,6.26,20.7,0.0355,86.6,"338",93.1,"Africa"
"29","Cambodia",14300000,66.9,44.3,2790,786,2.88,45.2,0.352,88.4,"81.1",595,"Asia"
"30","Cameroon",20300000,57.7,107,3090,1290,5.11,61.3,0.328,80.2,"43",741,"Africa"
"31","Canada",34100000,81.6,5.65,45000,47600,1.64,5220,16.3,99.5,"3.76",555,"Americas"
